"RNA_ID"	"SEX"	"ORIGIN"	"LAB"	"INDIVIDUAL"	"phase1TG"	"OUTRIDER_GROUP"	"PAIRED_END"	"COUNT_MODE"	"COUNT_OVERLAP"	"COUNT_AS_STRANDED"
"HG00096.1.M_111124_6"	"male"	"British"	"UNIGE"	"HG00096"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"HG00103.4.M_120208_3"	"male"	"British"	"ICMB"	"HG00103"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"HG00106.4.M_120208_5"	"female"	"British"	"ICMB"	"HG00106"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"HG00111.2.M_111215_4"	"female"	"British"	"CNAG_CRG"	"HG00111"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"HG00116.2.M_120131_1"	"male"	"British"	"CNAG_CRG"	"HG00116"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"HG00126.1.M_111124_8"	"male"	"British"	"UNIGE"	"HG00126"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"HG00132.2.M_111215_4"	"female"	"British"	"CNAG_CRG"	"HG00132"	0	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"HG00149.1.M_111124_6"	"male"	"British"	"UNIGE"	"HG00149"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"HG00150.4.M_120208_7"	"female"	"British"	"ICMB"	"HG00150"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"HG00176.4.M_120208_2"	"female"	"Finnish"	"ICMB"	"HG00176"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"HG00178.4.M_120208_8"	"female"	"Finnish"	"ICMB"	"HG00178"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"HG00181.4.M_120208_4"	"male"	"Finnish"	"ICMB"	"HG00181"	0	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"HG00182.1.M_111124_4"	"male"	"Finnish"	"UNIGE"	"HG00182"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"HG00187.1.M_120209_2"	"male"	"Finnish"	"UNIGE"	"HG00187"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"HG00189.1.M_111124_5"	"male"	"Finnish"	"UNIGE"	"HG00189"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"HG00257.4.M_120208_5"	"female"	"British"	"ICMB"	"HG00257"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"HG00262.2.M_111215_8"	"female"	"British"	"CNAG_CRG"	"HG00262"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"HG00265.2.M_111215_4"	"male"	"British"	"CNAG_CRG"	"HG00265"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"HG00269.2.M_111216_7"	"female"	"Finnish"	"CNAG_CRG"	"HG00269"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"HG00275.4.M_120208_8"	"female"	"Finnish"	"ICMB"	"HG00275"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"HG00278.1.M_111124_5"	"male"	"Finnish"	"UNIGE"	"HG00278"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"HG00282.2.M_111216_6"	"female"	"Finnish"	"CNAG_CRG"	"HG00282"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
